Timestamp,Occupancy,Capacity,QueueLength,Traffic,IsSpecialDay,VehicleType,SystemCodeNumber,Price
2016-10-04 07:59:00,61,577,1,1,0,1.75,BHMBCCMKT01,10.926345885511475
2016-10-04 08:25:00,64,577,1,1,0,1.75,BHMBCCMKT01,10.93213972948963
2016-10-04 08:59:00,80,577,2,1,0,1.75,BHMBCCMKT01,11.026717334999734
2016-10-04 09:32:00,107,577,2,1,0,1.75,BHMBCCMKT01,11.078861930803146
2016-10-04 09:59:00,150,577,2,1,0,1.0,BHMBCCMKT01,10.803723316173773
2016-10-04 10:26:00,177,577,3,1,0,1.75,BHMBCCMKT01,11.27772872792007
2016-10-04 10:59:00,219,577,6,3,0,2.5,BHMBCCMKT01,11.271286525211025
2016-10-04 11:25:00,247,577,5,2,0,1.75,BHMBCCMKT01,11.22188710786393
2016-10-04 11:59:00,259,577,5,2,0,0.5,BHMBCCMKT01,10.648089631027187
2016-10-04 12:29:00,266,577,8,3,0,1.0,BHMBCCMKT01,10.77304353282277
2016-10-04 13:02:00,269,577,7,3,0,1.75,BHMBCCMKT01,11.073343984157283
2016-10-04 13:29:00,263,577,7,3,0,1.75,BHMBCCMKT01,11.061756296200969
2016-10-04 14:02:00,238,577,5,3,0,1.75,BHMBCCMKT01,10.88612005446313
2016-10-04 14:29:00,215,577,3,2,0,2.5,BHMBCCMKT01,11.390915608493348
2016-10-04 14:57:00,192,577,3,2,0,1.0,BHMBCCMKT01,10.630128714694902
2016-10-04 15:30:00,165,577,2,1,0,1.75,BHMBCCMKT01,11.190876247714176
2016-10-04 16:04:00,162,577,1,1,0,1.0,BHMBCCMKT01,10.763221587793133
2016-10-04 16:31:00,143,577,2,2,0,1.75,BHMBCCMKT01,10.830002537074696
2016-10-05 07:57:00,54,577,1,1,0,1.75,BHMBCCMKT01,10.912826916229111
2016-10-05 08:30:00,59,577,1,2,0,1.75,BHMBCCMKT01,10.60409780139304
2016-10-05 09:04:00,71,577,2,1,0,1.75,BHMBCCMKT01,11.009335803065262
2016-10-05 09:30:00,83,577,2,2,0,1.75,BHMBCCMKT01,10.714125657511559
2016-10-05 10:04:00,114,577,3,1,0,1.75,BHMBCCMKT01,11.156058004378778
2016-10-05 10:30:00,128,577,4,3,0,2.5,BHMBCCMKT01,10.968185715953735
2016-10-05 11:04:00,148,577,4,2,0,1.0,BHMBCCMKT01,10.608829440641866
2016-10-05 11:30:00,162,577,4,2,0,1.75,BHMBCCMKT01,10.994051090856223
2016-10-05 12:04:00,178,577,6,3,0,1.75,BHMBCCMKT01,10.833920279193258
2016-10-05 12:30:00,183,577,7,3,0,1.75,BHMBCCMKT01,10.907253790116787
2016-10-05 12:57:00,175,577,7,3,0,1.75,BHMBCCMKT01,10.89180353950837
2016-10-05 13:30:00,179,577,6,3,0,2.5,BHMBCCMKT01,11.194035272168934
2016-10-05 13:57:00,174,577,4,2,0,1.75,BHMBCCMKT01,11.01722646676885
2016-10-05 14:30:00,158,577,5,3,0,1.75,BHMBCCMKT01,10.73161754837895
2016-10-05 14:57:00,145,577,3,2,0,1.75,BHMBCCMKT01,10.897542204020068
2016-10-05 15:30:00,129,577,2,1,0,1.75,BHMBCCMKT01,11.121350119976297
2016-10-05 16:04:00,121,577,2,1,0,1.75,BHMBCCMKT01,11.105899869367876
2016-10-05 16:30:00,114,577,1,1,0,1.0,BHMBCCMKT01,10.670520084142623
2016-10-06 07:57:00,58,577,1,1,0,1.75,BHMBCCMKT01,10.920552041533318
2016-10-06 08:30:00,63,577,1,1,0,1.75,BHMBCCMKT01,10.930208448163581
2016-10-06 08:57:00,70,577,1,1,0,1.75,BHMBCCMKT01,10.943727417445945
2016-10-06 09:30:00,95,577,2,1,0,1.75,BHMBCCMKT01,11.055686554890517
2016-10-06 10:03:00,135,577,3,1,0,1.75,BHMBCCMKT01,11.196614912225876
2016-10-06 10:30:00,160,577,3,2,0,1.75,BHMBCCMKT01,10.926511423910853
2016-10-06 10:57:00,177,577,3,2,0,1.75,BHMBCCMKT01,10.95934320645374
2016-10-06 11:30:00,191,577,4,2,0,0.5,BHMBCCMKT01,10.453085396562367
2016-10-06 12:04:00,199,577,7,3,0,1.75,BHMBCCMKT01,10.938154291333625
2016-10-06 12:30:00,206,577,7,3,0,1.75,BHMBCCMKT01,10.951673260615989
2016-10-06 12:57:00,198,577,5,2,0,1.75,BHMBCCMKT01,11.12725432288737
2016-10-06 13:30:00,208,577,7,3,0,1.0,BHMBCCMKT01,10.597352111618472
2016-10-06 13:57:00,200,577,5,2,0,1.75,BHMBCCMKT01,11.131116885539473
2016-10-06 14:30:00,175,577,3,2,0,0.5,BHMBCCMKT01,10.358507791052265
2016-10-06 15:04:00,158,577,2,1,0,1.75,BHMBCCMKT01,11.177357278431812
2016-10-06 15:31:00,153,577,2,1,0,1.0,BHMBCCMKT01,10.809517160151927
2016-10-06 16:04:00,135,577,1,1,0,1.0,BHMBCCMKT01,10.71107699198972
2016-10-06 16:30:00,129,577,2,1,0,1.75,BHMBCCMKT01,11.121350119976297
2016-10-07 08:03:00,58,577,2,1,0,1.75,BHMBCCMKT01,10.984229145826585
2016-10-07 08:30:00,61,577,2,2,0,1.75,BHMBCCMKT01,10.67163746833841
2016-10-07 09:04:00,75,577,1,1,0,1.75,BHMBCCMKT01,10.953383824076205
2016-10-07 09:30:00,103,577,2,1,0,1.75,BHMBCCMKT01,11.071136805498936
2016-10-07 09:57:00,128,577,2,1,0,1.0,BHMBCCMKT01,10.76123512700062
2016-10-07 10:30:00,172,577,5,3,0,2.5,BHMBCCMKT01,11.116839198593302
2016-10-07 10:57:00,188,577,3,2,0,1.75,BHMBCCMKT01,10.980587301040314
2016-10-07 11:30:00,199,577,4,2,0,1.0,BHMBCCMKT01,10.707324788270533
2016-10-07 12:03:00,210,577,7,3,0,1.75,BHMBCCMKT01,10.959398385920199
2016-10-07 12:30:00,206,577,7,3,0,1.0,BHMBCCMKT01,10.593489548966367
2016-10-07 13:04:00,200,577,7,3,0,1.75,BHMBCCMKT01,10.940085572659676
2016-10-07 13:30:00,201,577,7,3,0,1.75,BHMBCCMKT01,10.942016853985727
2016-10-07 14:03:00,193,577,3,2,0,1.0,BHMBCCMKT01,10.632059996020953
2016-10-07 14:30:00,181,577,4,2,0,1.75,BHMBCCMKT01,11.030745436051214
2016-10-07 15:04:00,172,577,2,1,0,2.5,BHMBCCMKT01,11.562578928646165
2016-10-07 15:30:00,159,577,2,1,0,0.5,BHMBCCMKT01,10.582315707008494
2016-10-07 15:57:00,158,577,2,1,0,0.5,BHMBCCMKT01,10.58038442568244
