Timestamp,Occupancy,Capacity,SystemCodeNumber,Price
2016-10-04 07:59:00,61,577,BHMBCCMKT01,10.0
2016-10-04 08:25:00,64,577,BHMBCCMKT01,10.00055459272097
2016-10-04 08:59:00,80,577,BHMBCCMKT01,10.001247833622184
2016-10-04 09:32:00,107,577,BHMBCCMKT01,10.002175043327556
2016-10-04 09:59:00,150,577,BHMBCCMKT01,10.00347487001733
2016-10-04 10:26:00,177,577,BHMBCCMKT01,10.005008665511264
2016-10-04 10:59:00,219,577,BHMBCCMKT01,10.006906412478335
2016-10-04 11:25:00,247,577,BHMBCCMKT01,10.009046793760831
2016-10-04 11:59:00,259,577,BHMBCCMKT01,10.011291161178509
2016-10-04 12:29:00,266,577,BHMBCCMKT01,10.013596187175043
2016-10-04 13:02:00,269,577,BHMBCCMKT01,10.015927209705373
2016-10-04 13:29:00,263,577,BHMBCCMKT01,10.01820623916811
2016-10-04 14:02:00,238,577,BHMBCCMKT01,10.02026863084922
2016-10-04 14:29:00,215,577,BHMBCCMKT01,10.02213171577123
2016-10-04 14:57:00,192,577,BHMBCCMKT01,10.023795493934141
2016-10-04 15:30:00,165,577,BHMBCCMKT01,10.025225303292894
2016-10-04 16:04:00,162,577,BHMBCCMKT01,10.026629116117851
2016-10-04 16:31:00,143,577,BHMBCCMKT01,10.02786828422877
2016-10-05 07:57:00,54,577,BHMBCCMKT01,10.028336221837089
2016-10-05 08:30:00,59,577,BHMBCCMKT01,10.028847487001734
2016-10-05 09:04:00,71,577,BHMBCCMKT01,10.02946273830156
2016-10-05 09:30:00,83,577,BHMBCCMKT01,10.03018197573657
2016-10-05 10:04:00,114,577,BHMBCCMKT01,10.031169844020798
2016-10-05 10:30:00,128,577,BHMBCCMKT01,10.032279029462739
2016-10-05 11:04:00,148,577,BHMBCCMKT01,10.033561525129983
2016-10-05 11:30:00,162,577,BHMBCCMKT01,10.03496533795494
2016-10-05 12:04:00,178,577,BHMBCCMKT01,10.03650779896014
2016-10-05 12:30:00,183,577,BHMBCCMKT01,10.038093587521665
2016-10-05 12:57:00,175,577,BHMBCCMKT01,10.039610051993069
2016-10-05 13:30:00,179,577,BHMBCCMKT01,10.041161178509533
2016-10-05 13:57:00,174,577,BHMBCCMKT01,10.042668977469672
2016-10-05 14:30:00,158,577,BHMBCCMKT01,10.044038128249568
2016-10-05 14:57:00,145,577,BHMBCCMKT01,10.045294627383017
2016-10-05 15:30:00,129,577,BHMBCCMKT01,10.046412478336222
2016-10-05 16:04:00,121,577,BHMBCCMKT01,10.047461005199308
2016-10-05 16:30:00,114,577,BHMBCCMKT01,10.048448873483537
2016-10-06 07:57:00,58,577,BHMBCCMKT01,10.048951473136917
2016-10-06 08:30:00,63,577,BHMBCCMKT01,10.049497400346622
2016-10-06 08:57:00,70,577,BHMBCCMKT01,10.050103986135184
2016-10-06 09:30:00,95,577,BHMBCCMKT01,10.050927209705375
2016-10-06 10:03:00,135,577,BHMBCCMKT01,10.052097053726172
2016-10-06 10:30:00,160,577,BHMBCCMKT01,10.053483535528597
2016-10-06 10:57:00,177,577,BHMBCCMKT01,10.055017331022531
2016-10-06 11:30:00,191,577,BHMBCCMKT01,10.056672443674177
2016-10-06 12:04:00,199,577,BHMBCCMKT01,10.058396880415945
2016-10-06 12:30:00,206,577,BHMBCCMKT01,10.060181975736569
2016-10-06 12:57:00,198,577,BHMBCCMKT01,10.061897746967071
2016-10-06 13:30:00,208,577,BHMBCCMKT01,10.063700173310226
2016-10-06 13:57:00,200,577,BHMBCCMKT01,10.065433275563258
2016-10-06 14:30:00,175,577,BHMBCCMKT01,10.066949740034662
2016-10-06 15:04:00,158,577,BHMBCCMKT01,10.068318890814558
2016-10-06 15:31:00,153,577,BHMBCCMKT01,10.069644714038128
2016-10-06 16:04:00,135,577,BHMBCCMKT01,10.070814558058926
2016-10-06 16:30:00,129,577,BHMBCCMKT01,10.071932409012131
2016-10-07 08:03:00,58,577,BHMBCCMKT01,10.072435008665511
2016-10-07 08:30:00,61,577,BHMBCCMKT01,10.072963604852687
2016-10-07 09:04:00,75,577,BHMBCCMKT01,10.073613518197574
2016-10-07 09:30:00,103,577,BHMBCCMKT01,10.074506065857886
2016-10-07 09:57:00,128,577,BHMBCCMKT01,10.075615251299826
2016-10-07 10:30:00,172,577,BHMBCCMKT01,10.077105719237435
2016-10-07 10:57:00,188,577,BHMBCCMKT01,10.078734835355286
2016-10-07 11:30:00,199,577,BHMBCCMKT01,10.080459272097054
2016-10-07 12:03:00,210,577,BHMBCCMKT01,10.082279029462738
2016-10-07 12:30:00,206,577,BHMBCCMKT01,10.084064124783362
2016-10-07 13:04:00,200,577,BHMBCCMKT01,10.085797227036394
2016-10-07 13:30:00,201,577,BHMBCCMKT01,10.087538994800692
2016-10-07 14:03:00,193,577,BHMBCCMKT01,10.08921143847487
2016-10-07 14:30:00,181,577,BHMBCCMKT01,10.090779896013863
2016-10-07 15:04:00,172,577,BHMBCCMKT01,10.092270363951473
2016-10-07 15:30:00,159,577,BHMBCCMKT01,10.093648180242633
2016-10-07 15:57:00,158,577,BHMBCCMKT01,10.095017331022529
2016-10-07 16:30:00,132,577,BHMBCCMKT01,10.096161178509531
